id,coho,trout
EB3520A,,
EB3520B,,
SCr-1,,
SCr-10,,1.0
SCr-100,-1.0,0.0
SCr-101,0.0,0.0
SCr-102,1.0,0.0
SCr-103,0.0,0.0
SCr-104,,1.0
SCr-105,1.0,0.0
SCr-106,0.0,0.0
SCr-107,1.0,0.0
SCr-108,1.0,0.0
SCr-109,1.0,0.0
SCr-11,,
SCr-110,1.0,1.0
SCr-111,0.0,0.0
SCr-112,1.0,1.0
SCr-113,1.0,0.0
SCr-114,-1.0,0.0
SCr-115,1.0,0.0
SCr-116,1.0,0.0
SCr-117,1.0,
SCr-118,,1.0
SCr-119,,
SCr-12,,1.0
SCr-120,1.0,0.0
SCr-121,1.0,1.0
SCr-122,,0.0
SCr-123,,0.0
SCr-124,1.0,0.0
SCr-125,1.0,1.0
SCr-126,,1.0
SCr-127,,1.0
SCr-128,-1.0,1.0
SCr-129,,
SCr-13,1.0,1.0
SCr-130,,
SCr-131,,
SCr-133,,
SCr-134,,
SCr-135,,
SCr-136,-1.0,0.0
SCr-137,1.0,0.0
SCr-138,0.0,0.0
SCr-139,0.0,0.0
SCr-14,1.0,-1.0
SCr-140,,1.0
SCr-141,-1.0,0.0
SCr-142,1.0,1.0
SCr-143,1.0,0.0
SCr-144,1.0,0.0
SCr-145,0.0,0.0
SCr-146,1.0,0.0
SCr-147,0.0,0.0
SCr-148,,
SCr-149,1.0,1.0
SCr-15,1.0,0.0
SCr-150,0.0,0.0
SCr-151,1.0,0.0
SCr-152,0.0,0.0
SCr-153,1.0,0.0
SCr-154,,1.0
SCr-155,0.0,0.0
SCr-156,0.0,1.0
SCr-157,0.0,0.0
SCr-158,1.0,1.0
SCr-159,0.0,0.0
SCr-16,,0.0
SCr-160,,1.0
SCr-160506A,,
SCr-161,1.0,1.0
SCr-162,1.0,1.0
SCr-163,,1.0
SCr-164,1.0,1.0
SCr-165,1.0,1.0
SCr-166,1.0,1.0
SCr-167,0.0,0.0
SCr-168,1.0,1.0
SCr-169,,1.0
SCr-17,,
SCr-170,,1.0
SCr-171,1.0,1.0
SCr-172,1.0,1.0
SCr-173,1.0,0.0
SCr-174,,1.0
SCr-175,1.0,0.0
SCr-176,0.0,1.0
SCr-177,1.0,1.0
SCr-178,0.0,0.0
SCr-179,1.0,0.0
SCr-18,,0.0
SCr-180,0.0,-1.0
SCr-181,,
SCr-1814,,
SCr-182,1.0,1.0
SCr-183,0.0,0.0
SCr-184,1.0,
SCr-185,0.0,-1.0
SCr-186,1.0,0.0
SCr-187,1.0,0.0
SCr-188,1.0,0.0
SCr-189,1.0,0.0
SCr-19,,1.0
SCr-190,1.0,0.0
SCr-190506,0.0,0.0
SCr-190506A,,
SCr-190506B,0.0,0.0
SCr-191,0.0,0.0
SCr-192,0.0,0.0
SCr-193,1.0,0.0
SCr-194,1.0,0.0
SCr-195,1.0,1.0
SCr-196,0.0,0.0
SCr-197,1.0,1.0
SCr-198,1.0,1.0
SCr-199,-1.0,0.0
SCr-2,,
SCr-20,,0.0
SCr-200,0.0,0.0
SCr-201,1.0,1.0
SCr-202,1.0,0.0
SCr-203,0.0,1.0
SCr-204,1.0,1.0
SCr-205,1.0,1.0
SCr-206,1.0,1.0
SCr-207,1.0,0.0
SCr-208,1.0,1.0
SCr-209,1.0,0.0
SCr-21,,1.0
SCr-210,-1.0,0.0
SCr-211,1.0,0.0
SCr-212,1.0,1.0
SCr-213,1.0,0.0
SCr-214,1.0,1.0
SCr-215,0.0,0.0
SCr-216,0.0,1.0
SCr-217,1.0,1.0
SCr-218,1.0,1.0
SCr-219,1.0,1.0
SCr-22,,1.0
SCr-220,1.0,0.0
SCr-221,-1.0,1.0
SCr-222,0.0,0.0
SCr-223,1.0,0.0
SCr-224,1.0,0.0
SCr-225,1.0,0.0
SCr-226,1.0,1.0
SCr-227,0.0,0.0
SCr-228,1.0,1.0
SCr-229,1.0,0.0
SCr-23,,-1.0
SCr-230,0.0,1.0
SCr-231,0.0,0.0
SCr-232,0.0,0.0
SCr-233,0.0,0.0
SCr-234,1.0,1.0
SCr-235,,1.0
SCr-236,1.0,0.0
SCr-237,,1.0
SCr-238,0.0,1.0
SCr-239,1.0,-1.0
SCr-24,,
SCr-240,1.0,0.0
SCr-241,,1.0
SCr-242,1.0,1.0
SCr-243,0.0,0.0
SCr-244,0.0,1.0
SCr-245,,
SCr-246,1.0,1.0
SCr-247,1.0,1.0
SCr-248,,
SCr-249,1.0,1.0
SCr-25,1.0,1.0
SCr-250,1.0,1.0
SCr-251,1.0,1.0
SCr-252,1.0,1.0
SCr-253,0.0,0.0
SCr-254,1.0,0.0
SCr-255,1.0,1.0
SCr-256,1.0,0.0
SCr-257,0.0,0.0
SCr-258,,1.0
SCr-259,1.0,0.0
SCr-26,1.0,0.0
SCr-260,0.0,0.0
SCr-261,,1.0
SCr-262,,
SCr-263,,1.0
SCr-264,,1.0
SCr-265,,
SCr-266,,
SCr-267,,
SCr-268,,
SCr-269,,
SCr-27,,0.0
SCr-270,0.0,-1.0
SCr-271,1.0,0.0
SCr-272,1.0,0.0
SCr-273,0.0,-1.0
SCr-274,,1.0
SCr-275,1.0,0.0
SCr-276,1.0,0.0
SCr-277,0.0,-1.0
SCr-278,0.0,-1.0
SCr-279,1.0,0.0
SCr-28,1.0,1.0
SCr-280,1.0,0.0
SCr-281,1.0,0.0
SCr-282,1.0,-1.0
SCr-283,,0.0
SCr-28326,,
SCr-284,1.0,1.0
SCr-285,,
SCr-286,0.0,0.0
SCr-287,0.0,1.0
SCr-288,,1.0
SCr-289,,1.0
SCr-29,,1.0
SCr-290,,
SCr-291,0.0,1.0
SCr-292,,
SCr-293,1.0,1.0
SCr-294,,
SCr-295,,1.0
SCr-296,1.0,0.0
SCr-297,1.0,1.0
SCr-298,1.0,0.0
SCr-299,1.0,1.0
SCr-3,,
SCr-30,0.0,1.0
SCr-300,1.0,1.0
SCr-301,1.0,1.0
SCr-302,1.0,1.0
SCr-303,1.0,0.0
SCr-304,1.0,1.0
SCr-305,1.0,0.0
SCr-306,0.0,0.0
SCr-307,1.0,1.0
SCr-308,1.0,0.0
SCr-309,,
SCr-31,,1.0
SCr-310,1.0,1.0
SCr-311,,1.0
SCr-312,,
SCr-313,1.0,1.0
SCr-314,1.0,1.0
SCr-315,,1.0
SCr-316,1.0,1.0
SCr-317,0.0,1.0
SCr-318,,1.0
SCr-319,0.0,0.0
SCr-32,1.0,0.0
SCr-320,1.0,0.0
SCr-321,,1.0
SCr-322,1.0,1.0
SCr-323,1.0,1.0
SCr-324,1.0,0.0
SCr-325,1.0,0.0
SCr-326,,1.0
SCr-327,,1.0
SCr-328,1.0,0.0
SCr-329,1.0,0.0
SCr-33,,
SCr-330,1.0,0.0
SCr-331,,
SCr-332,,
SCr-333,,1.0
SCr-334,,1.0
SCr-335,1.0,1.0
SCr-336,1.0,1.0
SCr-337,,1.0
SCr-338,0.0,0.0
SCr-339,0.0,0.0
SCr-34,,0.0
SCr-340,,
SCr-341,,1.0
SCr-342,1.0,1.0
SCr-343,,1.0
SCr-344,,1.0
SCr-345,,1.0
SCr-346,,
SCr-347,1.0,1.0
SCr-348,,1.0
SCr-349,1.0,1.0
SCr-35,1.0,0.0
SCr-350,1.0,1.0
SCr-351,,1.0
SCr-352,,
SCr-353,,0.0
SCr-354,,0.0
SCr-355,1.0,0.0
SCr-356,,1.0
SCr-357,,1.0
SCr-358,,1.0
SCr-359,,1.0
SCr-36,,0.0
SCr-360,,1.0
SCr-361,1.0,0.0
SCr-362,,-1.0
SCr-363,,0.0
SCr-364,1.0,0.0
SCr-365,,1.0
SCr-366,,1.0
SCr-367,1.0,0.0
SCr-368,,1.0
SCr-369,,0.0
SCr-37,1.0,0.0
SCr-370,,0.0
SCr-371,1.0,0.0
SCr-372,,1.0
SCr-373,1.0,1.0
SCr-374,,0.0
SCr-375,,-1.0
SCr-376,,-1.0
SCr-377,1.0,0.0
SCr-378,,1.0
SCr-379,1.0,-1.0
SCr-38,0.0,-1.0
SCr-380,,1.0
SCr-381,,1.0
SCr-382,1.0,0.0
SCr-383,,1.0
SCr-384,1.0,0.0
SCr-385,1.0,0.0
SCr-386,,0.0
SCr-387,1.0,0.0
SCr-388,1.0,0.0
SCr-389,,0.0
SCr-39,0.0,0.0
SCr-390,,1.0
SCr-391,,0.0
SCr-392,1.0,0.0
SCr-393,,0.0
SCr-394,,0.0
SCr-395,1.0,0.0
SCr-396,,-1.0
SCr-397,,0.0
SCr-398,,0.0
SCr-399,,0.0
SCr-4,1.0,1.0
SCr-40,,1.0
SCr-400,,0.0
SCr-401,,0.0
SCr-402,,1.0
SCr-403,,1.0
SCr-404,,1.0
SCr-405,,1.0
SCr-406,,
SCr-407,,1.0
SCr-408,1.0,0.0
SCr-409,,1.0
SCr-41,,1.0
SCr-410,,1.0
SCr-411,,1.0
SCr-412,1.0,0.0
SCr-413,1.0,0.0
SCr-414,0.0,0.0
SCr-415,1.0,0.0
SCr-416,,0.0
SCr-417,1.0,0.0
SCr-418,,0.0
SCr-419,1.0,0.0
SCr-42,,-1.0
SCr-420,1.0,0.0
SCr-421,1.0,0.0
SCr-422,1.0,0.0
SCr-423,0.0,0.0
SCr-424,0.0,0.0
SCr-425,,0.0
SCr-426,1.0,0.0
SCr-427,1.0,0.0
SCr-428,1.0,1.0
SCr-429,1.0,0.0
SCr-43,,1.0
SCr-430,1.0,0.0
SCr-431,1.0,0.0
SCr-432,-1.0,0.0
SCr-433,0.0,0.0
SCr-434,-1.0,0.0
SCr-435,0.0,0.0
SCr-436,1.0,0.0
SCr-437,1.0,1.0
SCr-438,0.0,0.0
SCr-439,,0.0
SCr-43943,,
SCr-44,,
SCr-440,1.0,0.0
SCr-441,0.0,0.0
SCr-442,,
SCr-443,1.0,0.0
SCr-444,,
SCr-445,0.0,0.0
SCr-446,0.0,0.0
SCr-447,0.0,0.0
SCr-448,1.0,1.0
SCr-449,0.0,0.0
SCr-45,1.0,0.0
SCr-450,0.0,0.0
SCr-451,0.0,0.0
SCr-452,0.0,1.0
SCr-453,1.0,0.0
SCr-454,0.0,0.0
SCr-455,0.0,0.0
SCr-456,1.0,0.0
SCr-457,0.0,0.0
SCr-458,-1.0,0.0
SCr-459,0.0,0.0
SCr-46,,
SCr-460,,
SCr-461,,
SCr-462,,
SCr-463,,
SCr-464,,
SCr-4642,,
SCr-465,-1.0,
SCr-466,1.0,0.0
SCr-467,0.0,0.0
SCr-468,0.0,0.0
SCr-469,0.0,0.0
SCr-47,1.0,0.0
SCr-470,0.0,0.0
SCr-471,1.0,0.0
SCr-472,0.0,0.0
SCr-473,1.0,0.0
SCr-474,0.0,0.0
SCr-475,1.0,0.0
SCr-476,1.0,-1.0
SCr-477,1.0,-1.0
SCr-478,-1.0,-1.0
SCr-479,,
SCr-48,,
SCr-480,1.0,0.0
SCr-481,-1.0,0.0
SCr-482,,1.0
SCr-483,1.0,0.0
SCr-484,-1.0,0.0
SCr-485,,1.0
SCr-486,,1.0
SCr-487,1.0,0.0
SCr-488,1.0,0.0
SCr-489,,1.0
SCr-49,,
SCr-490,0.0,0.0
SCr-491,,1.0
SCr-492,,0.0
SCr-493,1.0,0.0
SCr-494,,1.0
SCr-495,0.0,0.0
SCr-496,1.0,1.0
SCr-497,1.0,0.0
SCr-498,,0.0
SCr-499,1.0,0.0
SCr-5,,
SCr-50,1.0,0.0
SCr-500,1.0,1.0
SCr-501,,1.0
SCr-502,0.0,0.0
SCr-503,1.0,0.0
SCr-504,0.0,0.0
SCr-505,,1.0
SCr-506,1.0,0.0
SCr-507,1.0,-1.0
SCr-508,,1.0
SCr-509,1.0,1.0
SCr-51,0.0,1.0
SCr-510,1.0,1.0
SCr-511,1.0,1.0
SCr-512,1.0,0.0
SCr-513,1.0,1.0
SCr-514,1.0,1.0
SCr-515,1.0,-1.0
SCr-516,1.0,1.0
SCr-517,1.0,1.0
SCr-518,1.0,-1.0
SCr-519,1.0,0.0
SCr-52,1.0,0.0
SCr-520,1.0,0.0
SCr-521,1.0,1.0
SCr-522,1.0,0.0
SCr-523,1.0,1.0
SCr-524,-1.0,0.0
SCr-525,,1.0
SCr-526,0.0,0.0
SCr-527,1.0,1.0
SCr-528,0.0,0.0
SCr-529,0.0,0.0
SCr-53,1.0,-1.0
SCr-530,1.0,0.0
SCr-531,,1.0
SCr-532,,1.0
SCr-533,,0.0
SCr-534,1.0,-1.0
SCr-535,1.0,0.0
SCr-536,,1.0
SCr-537,1.0,1.0
SCr-538,1.0,1.0
SCr-539,1.0,0.0
SCr-54,,1.0
SCr-540,-1.0,0.0
SCr-541,1.0,1.0
SCr-542,,0.0
SCr-543,0.0,0.0
SCr-544,0.0,0.0
SCr-545,1.0,1.0
SCr-546,0.0,0.0
SCr-547,1.0,0.0
SCr-548,0.0,0.0
SCr-549,1.0,0.0
SCr-55,,
SCr-550,1.0,0.0
SCr-551,0.0,0.0
SCr-552,,1.0
SCr-553,1.0,1.0
SCr-554,0.0,0.0
SCr-555,1.0,0.0
SCr-556,1.0,1.0
SCr-557,-1.0,0.0
SCr-558,1.0,0.0
SCr-559,1.0,0.0
SCr-56,0.0,0.0
SCr-560,1.0,0.0
SCr-561,1.0,0.0
SCr-562,1.0,0.0
SCr-563,0.0,1.0
SCr-564,1.0,0.0
SCr-565,,0.0
SCr-566,0.0,-1.0
SCr-567,1.0,1.0
SCr-568,1.0,0.0
SCr-569,1.0,0.0
SCr-57,1.0,0.0
SCr-570,,0.0
SCr-571,,
SCr-572,1.0,0.0
SCr-573,1.0,1.0
SCr-574,,0.0
SCr-575,,1.0
SCr-576,-1.0,1.0
SCr-577,1.0,0.0
SCr-578,0.0,0.0
SCr-579,,
SCr-58,1.0,1.0
SCr-580,-1.0,1.0
SCr-581,1.0,0.0
SCr-582,1.0,0.0
SCr-583,1.0,0.0
SCr-584,1.0,1.0
SCr-585,0.0,0.0
SCr-586,1.0,0.0
SCr-587,0.0,0.0
SCr-588,,1.0
SCr-589,,
SCr-59,,1.0
SCr-590,1.0,
SCr-591,,
SCr-592,,
SCr-593,,
SCr-594,,
SCr-595,,
SCr-596,,
SCr-597,1.0,1.0
SCr-598,1.0,-1.0
SCr-599,-1.0,0.0
SCr-6,,
SCr-60,0.0,0.0
SCr-600,0.0,0.0
SCr-61,1.0,0.0
SCr-62,1.0,0.0
SCr-63,,
SCr-64,1.0,1.0
SCr-65,0.0,0.0
SCr-66,,0.0
SCr-67,,1.0
SCr-68,-1.0,0.0
SCr-69,0.0,0.0
SCr-7,,
SCr-70,0.0,0.0
SCr-71,1.0,1.0
SCr-72,0.0,0.0
SCr-725,,
SCr-726,,
SCr-727,,
SCr-728,1.0,
SCr-729,1.0,1.0
SCr-73,,1.0
SCr-730,0.0,0.0
SCr-731,0.0,
SCr-732,1.0,1.0
SCr-733,1.0,0.0
SCr-734,1.0,
SCr-735,1.0,1.0
SCr-736,0.0,0.0
SCr-737,0.0,
SCr-738,1.0,1.0
SCr-739,,
SCr-74,0.0,0.0
SCr-740,,
SCr-741,,1.0
SCr-742,,
SCr-743,0.0,
SCr-744,1.0,1.0
SCr-745,1.0,1.0
SCr-746,,
SCr-747,,1.0
SCr-748,,
SCr-749,,
SCr-75,1.0,1.0
SCr-750,1.0,
SCr-751,1.0,1.0
SCr-752,1.0,1.0
SCr-753,1.0,1.0
SCr-754,0.0,0.0
SCr-755,1.0,1.0
SCr-756,1.0,0.0
SCr-757,1.0,0.0
SCr-758,1.0,0.0
SCr-759,1.0,1.0
SCr-76,1.0,1.0
SCr-760,0.0,0.0
SCr-761,1.0,1.0
SCr-762,1.0,0.0
SCr-763,0.0,0.0
SCr-764,1.0,1.0
SCr-765,,1.0
SCr-766,,1.0
SCr-767,1.0,0.0
SCr-768,,1.0
SCr-769,1.0,1.0
SCr-77,0.0,0.0
SCr-770,0.0,0.0
SCr-771,1.0,0.0
SCr-772,0.0,0.0
SCr-773,,
SCr-774,1.0,0.0
SCr-775,0.0,0.0
SCr-776,1.0,0.0
SCr-777,1.0,0.0
SCr-778,1.0,0.0
SCr-779,1.0,0.0
SCr-78,0.0,1.0
SCr-780,-1.0,-1.0
SCr-781,0.0,-1.0
SCr-782,,1.0
SCr-783,,1.0
SCr-784,,1.0
SCr-785,1.0,1.0
SCr-786,,1.0
SCr-787,1.0,0.0
SCr-788,1.0,
SCr-789,0.0,0.0
SCr-79,,1.0
SCr-790,,1.0
SCr-791,,1.0
SCr-792,1.0,1.0
SCr-793,1.0,1.0
SCr-794,,1.0
SCr-795,,1.0
SCr-796,0.0,0.0
SCr-797,1.0,1.0
SCr-798,1.0,0.0
SCr-799,1.0,0.0
SCr-8,,
SCr-80,1.0,1.0
SCr-800,1.0,0.0
SCr-801,0.0,0.0
SCr-802,0.0,0.0
SCr-803,0.0,0.0
SCr-804,0.0,0.0
SCr-805,,1.0
SCr-806,,1.0
SCr-807,-1.0,0.0
SCr-808,1.0,0.0
SCr-809,1.0,0.0
SCr-81,1.0,0.0
SCr-810,,0.0
SCr-811,-1.0,0.0
SCr-812,1.0,1.0
SCr-813,,1.0
SCr-814,1.0,0.0
SCr-815,0.0,0.0
SCr-816,0.0,0.0
SCr-817,1.0,0.0
SCr-818,0.0,0.0
SCr-819,1.0,0.0
SCr-82,,1.0
SCr-820,0.0,0.0
SCr-821,0.0,0.0
SCr-822,,0.0
SCr-823,-1.0,0.0
SCr-824,0.0,0.0
SCr-825,0.0,0.0
SCr-826,0.0,0.0
SCr-827,0.0,-1.0
SCr-828,,0.0
SCr-829,0.0,0.0
SCr-83,0.0,-1.0
SCr-830,1.0,0.0
SCr-831,,0.0
SCr-832,0.0,0.0
SCr-833,0.0,0.0
SCr-834,1.0,0.0
SCr-835,1.0,0.0
SCr-836,0.0,0.0
SCr-837,,0.0
SCr-838,0.0,0.0
SCr-839,,0.0
SCr-84,0.0,0.0
SCr-840,1.0,1.0
SCr-841,-1.0,0.0
SCr-842,0.0,0.0
SCr-843,1.0,0.0
SCr-844,0.0,0.0
SCr-845,0.0,0.0
SCr-846,,0.0
SCr-847,1.0,1.0
SCr-848,-1.0,0.0
SCr-849,-1.0,-1.0
SCr-85,-1.0,0.0
SCr-850,0.0,0.0
SCr-851,-1.0,0.0
SCr-852,1.0,-1.0
SCr-853,1.0,0.0
SCr-854,0.0,0.0
SCr-855,,
SCr-856,,
SCr-857,,
SCr-86,1.0,1.0
SCr-87,1.0,1.0
SCr-88,1.0,0.0
SCr-89,-1.0,1.0
SCr-9,,1.0
SCr-90,1.0,0.0
SCr-91,0.0,0.0
SCr-92,0.0,0.0
SCr-93,1.0,1.0
SCr-94,0.0,0.0
SCr-95,1.0,0.0
SCr-96,1.0,0.0
SCr-97,1.0,0.0
SCr-98,,1.0
SCr-99,1.0,0.0
SCr-BCN-101719-15A,,
SCr-BCN-101719-15A7,,
SCr-BCN-101719-15B,,0.0
SCr-BCN-101719-15C,0.0,0.0
SCr-BCN-101719-15D,,
SCr-BCN-101719-16A,0.0,0.0
SCr-BCN-101719-16B,0.0,0.0
SCr-BCN-101719-16C,0.0,0.0
SCr-BCN-101719-16D,,
SCr-BCN-101719-16E,0.0,0.0
SCr-BCN-101719-16F,0.0,0.0
SCr-BCN-101719-16G,0.0,0.0
SCr-BCN-101719-17A,0.0,0.0
SCr-EB-102020,,
SCr-EB06,,
SCr-EB1,,
SCr-EB101,,
SCr-EB102,,
SCr-EB11,,
SCr-EB12,,
SCr-EB15,,
SCr-EB16,,
SCr-EB17,,
SCr-EB18,,
SCr-EB19,,
SCr-EB2,,
SCr-EB20,,
SCr-EB201,,
SCr-EB202,,
SCr-EB204,,
SCr-EB205,,
SCr-EB21,,
SCr-EB22,,
SCr-EB23,,
SCr-EB24,,
SCr-EB26,,
SCr-EB3,,
SCr-EB4,,
SCr-EB5,,
SCr-EB7,,
SCr-EB8,,
SCr-EB9,,
SCr-Hand-1A,0.0,1.0
SCr-Hand1B,0.0,0.0
SCr-Match-1B,0.0,0.0
SCr-Match1A,1.0,0.0
SCr-Match1E,-1.0,0.0
SCr-NTC1,,
SCr-Neg2,,
SCr-Neg_3874,,
SCr-SP-M-1-2A,-1.0,0.0
SCr-SP-M-1-3A,0.0,0.0
SCr-SP-M-1-4A,,0.0
SCr-SP-M-1-5A,0.0,0.0
SCr-SP-M-1-6A,0.0,0.0
SCr-SP-M-1-7A,0.0,0.0
SCr-SP-M-1-8A,0.0,0.0
SCr-Sp-101719-BCN,,
SCr-Sp-101719-BCN-17B,0.0,0.0
SCr-Sp-101719-BCN-17C,0.0,0.0
SCr-Sp-101719-BCN-17D,,
SCr-Sp-101719-BCN-17E,0.0,0.0
SCr-Sp-101719-BCN-17F,0.0,0.0
SCr-Sp-101719-BCN-17G,0.0,0.0
SCr-Sp-101719-BCN-18A,0.0,0.0
SCr-Sp-101719-BCN-18B,0.0,0.0
SCr-Sp-101719-BCN-18C,,
SCr-Sp-101719-BCN-18D,,
SCr-Sp-101719-BCN-18E,0.0,0.0
SCr-Sp-101719-BCN-18F,0.0,0.0
SCr-Sp-BCN-101720-18G,0.0,0.0
SCr-Sp-M-45-1C-200305,0.0,0.0
SCr-Sp-SCN-28C,0.0,0.0
SCr-Sp-SCN-28D,,
SCr-Sp-SCN-28E,0.0,0.0
SCr-Sp-SCN-28F,,0.0
SCr-Sp-SCN-28G,0.0,0.0
SCr-Sp-SCN-28H,0.0,0.0
SCr-Sp-SCN-28I,0.0,0.0
SCr-Sp-SCN-28J,0.0,0.0
SCr-Sp-SCN21A-20200305,0.0,0.0
SCr-Sp-SCN21B-20200305,0.0,0.0
SCr-Sp-SCN21C-20200305,0.0,0.0
SCr-Sp-SCN21D-20200305,,
SCr-Sp-SCN22A-20200305,0.0,0.0
SCr-Sp-SCN22B-20200305,0.0,0.0
SCr-hand1C,0.0,0.0
SCr-lab,,
SCr-match1C,0.0,0.0
SCr-match1D,0.0,-1.0
SCr-match1F,0.0,0.0
SCr-neg,,
SCr-neg1,,
