date,group,life_stage,SC,S0,S1,S2,S4,S5,BC
3/19/19,1,Smolt (age-1),,1608,,304,232,216,
3/29/19,2,Smolt (age-1),,3236,,285,462,505,
4/9/19,3,Smolt (age-1),,3441,,351,359,343,
4/19/19,4,Smolt (age-1),,3840,,188,218,226,
4/29/19,5,Smolt (age-1),,3560,,209,212,307,
5/9/19,6,Smolt (age-1),,3711,,340,372,,
11/21/19,Fall,Parr (age-0),10303,,,,,,
3/16/20,1,Smolt (age-1),,3675,,206,,248,
4/2/20,2,Smolt (age-1),,,,,,,5100
4/8/20,3,Smolt (age-1),,,,,,,5102
4/23/20,4,Smolt (age-1),,,,,,,5101
4/30/20,5,Smolt (age-1),,,,,,,5129