MouthOpen,Date,Trap_Performance,StartTime,EndTime,Personnel,ActivityCode,Watershed,Stream,ReachID,Site,NoteRecords
Y,3/19/19,2,12:16,15:15,"AHay, JKiernan, JPerez, KLiddy, LHansen, RBond",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,"Attempted start of season, poor trap performance due to high flows"
Y,3/20/19,2,10:35,11:26,"CKern, JKiernan, JPerez, LHansen",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,"Poor trap performance, storm expected"
Y,3/21/19,3,,,,Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,Trap not operational due to high flows
Y,3/22/19,3,,,,Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,Trap not operational due to high flows
Y,3/23/19,3,,,,Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,Trap not operational due to high flows
Y,3/24/19,3,,,,Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,Trap not operational due to high flows
Y,3/25/19,3,,,,Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,Trap not operational due to high flows
Y,3/26/19,3,,,,Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,Trap not operational due to high flows
Y,3/27/19,3,,,,Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,Trap not operational due to high flows
Y,3/28/19,3,,,,Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,Trap not operational due to high flows
Y,3/29/19,3,,,,Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,Trap not operational due to high flows
Y,3/30/19,3,,,,Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,Trap not operational due to high flows
Y,3/31/19,3,,,,Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,Trap not operational due to high flows
Y,4/1/19,3,,,,Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,Trap not operational due to high flows
Y,4/2/19,3,,,,Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,Trap not operational due to high flows
Y,4/3/19,3,,,,Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,Trap not operational due to high flows
Y,4/4/19,3,,,,Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,Trap not operational due to high flows
Y,4/5/19,3,,,,Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,Trap not operational due to high flows
Y,4/6/19,3,,,,Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,Trap not operational due to high flows
Y,4/7/19,3,,,,Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,Trap not operational due to high flows
Y,4/8/19,3,,,,Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,Trap not operational due to high flows
Y,4/9/19,3,,,,Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,Trap not operational due to high flows
Y,4/10/19,3,,,,Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,Trap not operational due to high flows
Y,4/11/19,3,,,,Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,Trap not operational due to high flows
Y,4/12/19,3,,,,Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,Trap not operational due to high flows
Y,4/13/19,3,,,,Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,Trap not operational due to high flows
Y,4/14/19,3,,,,Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,Trap not operational due to high flows
Y,4/15/19,2,9:30,11:30,"AHay, JPerez, KLiddy, LHansen, Other, RBond",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,Trap reinstalled
Y,4/16/19,1,9:10,10:54,"AHay, JKiernan, JPerez, Other",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,4/17/19,1,9:15,10:41,"AHay, JPerez, KLiddy, LHansen, Other",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,4/18/19,1,8:20,10:16,"JKiernan, JPerez, KLiddy, Other",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,4/19/19,1,9:00,13:30,"JPerez, KLiddy, LHansen, Other",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,4/20/19,1,9:50,1:30,"JKiernan, KLiddy, Other",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,4/21/19,1,10:10,1:18,"JKiernan, KLiddy, Other",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,4/22/19,1,9:30,13:13,"AHay, JPerez, Other",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,4/23/19,1,,,,Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,4/24/19,1,9:15,13:06,"AHay, Other",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,4/25/19,1,8:30,12:17,"JPerez, Other",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,4/26/19,1,9:15,12:18,"AHay, CKern, Other",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,4/27/19,1,10:00,13:46,"AHay, JPerez, Other",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,4/29/19,1,9:10,12:40,"Other, RBond",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
,4/30/19,1,,,,Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,5/1/19,1,9:10,1:32,"AHay, KLiddy, Other",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,5/2/19,1,10:00,13:30,"AHay, JPerez, Other",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,5/3/19,1,9:30,12:15,"JKiernan, JPerez, Other",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,5/4/19,1,9:10,11:06,"JKiernan, KLiddy, Other",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,5/5/19,1,9:55,11:58,"JKiernan, KLiddy, Other",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,5/6/19,1,,,,Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,5/7/19,1,,,,Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,5/8/19,1,,,,Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,5/9/19,1,9:30,11:41,"AHay, Other",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,5/10/19,1,9:30,11:10,"AHay, JKiernan, Other",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,5/11/19,1,9:40,12:28,"AHay, JMeko, JPerez",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,5/12/19,1,9:30,13:05,"CKern, JPerez, LHansen",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,5/13/19,1,,,,Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,5/14/19,1,,,,Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,5/15/19,1,,,,Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,5/16/19,1,9:30,11:30,"AHay, Other, RBond",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,5/17/19,1,9:15,9:18,"JKiernan, JPerez, LHansen, RBond",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,5/18/19,1,,,,Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,5/19/19,1,,,,Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,5/20/19,1,,,,Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,5/21/19,1,,,,Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,5/22/19,1,,,,Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,5/23/19,1,9:00,22:25,"KLiddy, LHansen, Other",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,5/24/19,1,9:30,11:00,"AHay, JPerez",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,5/25/19,1,9:30,11:45,"LHansen, Other",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,5/26/19,1,9:30,11:15,"LHansen, Other, RBond",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,5/27/19,1,9:30,11:14,"CKern, RBond",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,5/29/19,1,9:15,10:49,"AHay, CKern, Other",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,3/2/20,1,9:28,9:50,"CKern, JKiernan, Other, RBond",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,Start of 2020 smolt trapping season
Y,3/3/20,1,9:30,10:40,"AHay, CKern, Other",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,3/4/20,1,9:10,9:16,"CKern, JKiernan, Other",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,3/5/20,1,,,"CKern, MGreen, RBond",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,3/5/20,1,13:00,13:50,"JKiernan, MGreen, RBond",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,3/6/20,1,9:11,9:20,"AHay, Other, RBond",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,3/7/20,1,9:56,10:22,"MGreen, Other, RBond",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,3/8/20,1,10:30,10:55,"CKern, LTakata, RBond",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,3/9/20,1,9:40,10:40,"AHay, MGreen, Other",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,3/10/20,1,8:12,9:00,"JPerez, Other, RBond",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,3/11/20,1,10:30,11:30,"JPerez, LTakata",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,3/12/20,1,9:45,11:15,"JPerez, MGreen",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,3/13/20,1,10:30,11:45,"AHay, LTakata",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,3/14/20,1,10:01,11:15,"JKiernan, JPerez, Other",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,3/16/20,1,10:30,11:05,"JKiernan, Other",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,3/17/20,1,9:40,11:37,"AHay, CKern, JMeko, JPerez",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,3/18/20,1,10:40,,"JMeko, LTakata, MGreen, RBond",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,3/19/20,1,10:06,11:00,"JKiernan, LTakata, MGreen",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,3/20/20,1,10:00,11:46,"JKiernan, LTakata, MGreen",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,3/21/20,1,10:10,11:03,"AHay, JPerez, LTakata",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,3/22/20,1,10:00,11:03,"AHay, JPerez, LTakata",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,3/22/20,1,10:00,11:03,"AHay, JPerez, LTakata",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,3/23/20,1,10:00,11:10,"JKiernan, MGreen, RBond",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,3/24/20,1,10:06,11:27,"JMeko, JPerez, LTakata",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,3/25/20,1,10:15,13:16,"AHay, JPerez, MGreen",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,
Y,3/26/20,1,10:45,11:32,"AHay, JPerez, LTakata",Smolt Trap,Scott Creek,Mainstem,GRTS_103,Trap 2,2020 Trapping suspended for season due to COVID-19 restrictions