Block Type,96well,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,
Experiment File Name,\\atlas.shore.mbari.org\ESP\Scott_Creek\qpcr\S1P_data\eds_files\20201119_Scott_Creek_Omykiss_Chloe_P1.eds,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-11-19 11:58:28 AM PST,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments
A1,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.28447151,18.17515564,0.141039521,1000000,,,FALSE,0.1,TRUE,3,15,
A2,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.22504425,18.17515564,0.141039521,1000000,,,FALSE,0.1,TRUE,3,14,
A3,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.01595306,18.17515564,0.141039521,1000000,,,FALSE,0.1,TRUE,3,14,
A4,SCr-014,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.13650513,34.2660675,0.319627672,12.7034359,11.79426575,2.454347372,FALSE,0.1,TRUE,3,30,
A5,SCr-014,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.63013458,34.2660675,0.319627672,9.01505661,11.79426575,2.454347372,FALSE,0.1,TRUE,3,31,
A6,SCr-014,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.03156281,34.2660675,0.319627672,13.66430569,11.79426575,2.454347372,FALSE,0.1,TRUE,3,30,
A7,SCr-014-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,37.59514236,37.13795471,0.687935591,1.148885846,1.711841583,0.887628078,FALSE,0.1,TRUE,3,34,
A8,SCr-014-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.3467865,37.13795471,0.687935591,2.735070229,1.711841583,0.887628078,FALSE,0.1,TRUE,3,32,
A9,SCr-014-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,37.47193527,37.13795471,0.687935591,1.251568556,1.711841583,0.887628078,FALSE,0.1,TRUE,3,33,
A10,SCr-032,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.23151398,33.51168823,0.294943988,23.82332802,19.88204193,3.99576354,FALSE,0.1,TRUE,3,29,
A11,SCr-032,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.4840889,33.51168823,0.294943988,19.98885345,19.88204193,3.99576354,FALSE,0.1,TRUE,3,30,
A12,SCr-032,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.81946182,33.51168823,0.294943988,15.83394241,19.88204193,3.99576354,FALSE,0.1,TRUE,3,29,
B1,,O.mykiss,STANDARD,FAM,NFQ-MGB,21.21588326,21.20969963,0.027259924,100000,,,FALSE,0.1,TRUE,3,17,
B2,,O.mykiss,STANDARD,FAM,NFQ-MGB,21.23333549,21.20969963,0.027259924,100000,,,FALSE,0.1,TRUE,3,17,
B3,,O.mykiss,STANDARD,FAM,NFQ-MGB,21.17987823,21.20969963,0.027259924,100000,,,FALSE,0.1,TRUE,3,17,
B4,SCr-017,O.mykiss,UNKNOWN,FAM,NFQ-MGB,38.35808563,38.35808563,,0.676174283,0.676174283,,FALSE,0.1,TRUE,3,35,
B5,SCr-017,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,38.35808563,,,,,FALSE,0.1,TRUE,3,39,
B6,SCr-017,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,38.35808563,,,,,FALSE,0.1,TRUE,3,39,
B7,SCr-017-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
B8,SCr-017-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
B9,SCr-017-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
B10,SCr-032-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,37.5828743,36.18115616,1.256546736,1.158720732,3.800419807,2.55407238,FALSE,0.1,TRUE,3,34,
B11,SCr-032-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.15579605,36.18115616,1.256546736,6.256767273,3.800419807,2.55407238,FALSE,0.1,TRUE,3,31,
B12,SCr-032-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.80480194,36.18115616,1.256546736,3.985771418,3.800419807,2.55407238,FALSE,0.1,TRUE,3,32,
C1,,O.mykiss,STANDARD,FAM,NFQ-MGB,24.32790947,24.39028931,0.059914779,10000,,,FALSE,0.1,TRUE,3,20,
C2,,O.mykiss,STANDARD,FAM,NFQ-MGB,24.4473896,24.39028931,0.059914779,10000,,,FALSE,0.1,TRUE,3,20,
C3,,O.mykiss,STANDARD,FAM,NFQ-MGB,24.39556885,24.39028931,0.059914779,10000,,,FALSE,0.1,TRUE,3,21,
C4,SCr-020,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.05594635,34.49927902,0.52339673,13.43475723,10.29402542,3.444414139,FALSE,0.1,TRUE,3,30,
C5,SCr-020,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.36522293,34.49927902,0.52339673,10.83691311,10.29402542,3.444414139,FALSE,0.1,TRUE,3,30,
C6,SCr-020,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.07666397,34.49927902,0.52339673,6.610405922,10.29402542,3.444414139,FALSE,0.1,TRUE,3,31,
C7,SCr-020-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.41117477,36.72885513,0.823523045,2.61540699,2.310516119,1.095091105,FALSE,0.1,TRUE,3,32,
C8,SCr-020-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.11148453,36.72885513,0.823523045,3.220852852,2.310516119,1.095091105,FALSE,0.1,TRUE,3,32,
C9,SCr-020-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,37.66390228,36.72885513,0.823523045,1.095288634,2.310516119,1.095091105,FALSE,0.1,TRUE,3,34,
C10,SCr-038,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.6425705,33.7756691,0.135269523,17.90465927,16.37117577,1.533575058,FALSE,0.1,TRUE,3,30,
C11,SCr-038,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.91300964,33.7756691,0.135269523,14.83750916,16.37117577,1.533575058,FALSE,0.1,TRUE,3,30,
C12,SCr-038,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.77142334,33.7756691,0.135269523,16.37135696,16.37117577,1.533575058,FALSE,0.1,TRUE,3,30,
D1,,O.mykiss,STANDARD,FAM,NFQ-MGB,27.72415352,27.68427277,0.057107918,1000,,,FALSE,0.1,TRUE,3,24,
D2,,O.mykiss,STANDARD,FAM,NFQ-MGB,27.61885262,27.68427277,0.057107918,1000,,,FALSE,0.1,TRUE,3,24,
D3,,O.mykiss,STANDARD,FAM,NFQ-MGB,27.70981407,27.68427277,0.057107918,1000,,,FALSE,0.1,TRUE,3,23,
D4,SCr-021,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.0676918,35.37452316,0.511893928,6.651743412,5.588024139,1.752951264,FALSE,0.1,TRUE,3,31,
D5,SCr-021,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.09041595,35.37452316,0.511893928,6.547544479,5.588024139,1.752951264,FALSE,0.1,TRUE,3,30,
D6,SCr-021,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.96546173,35.37452316,0.511893928,3.564784527,5.588024139,1.752951264,FALSE,0.1,TRUE,3,32,
D7,SCr-021-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.7419281,36.31021118,0.610539913,2.078425407,2.932627201,1.208023906,FALSE,0.1,TRUE,3,33,
D8,SCr-021-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,36.31021118,0.610539913,,,,FALSE,0.1,TRUE,3,39,
D9,SCr-021-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.87849426,36.31021118,0.610539913,3.786829233,2.932627201,1.208023906,FALSE,0.1,TRUE,3,32,
D10,SCr-038-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.84864426,37.17261887,0.351622999,1.929891109,1.571183801,0.371364534,FALSE,0.1,TRUE,3,33,
D11,SCr-038-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,37.54654694,37.17261887,0.351622999,1.188339591,1.571183801,0.371364534,FALSE,0.1,TRUE,3,34,
D12,SCr-038-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,37.12266159,37.17261887,0.351622999,1.595320821,1.571183801,0.371364534,FALSE,0.1,TRUE,3,33,
E1,,O.mykiss,STANDARD,FAM,NFQ-MGB,30.8989563,30.97866249,0.078731276,100,,,FALSE,0.1,TRUE,3,27,
E2,,O.mykiss,STANDARD,FAM,NFQ-MGB,30.98064995,30.97866249,0.078731276,100,,,FALSE,0.1,TRUE,3,27,
E3,,O.mykiss,STANDARD,FAM,NFQ-MGB,31.05638123,30.97866249,0.078731276,100,,,FALSE,0.1,TRUE,3,27,
E4,SCr-023,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.17489624,35.74310303,0.676497936,3.082026482,4.500169754,2.297866344,FALSE,0.1,TRUE,3,31,
E5,SCr-023,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.9634552,35.74310303,0.676497936,7.151364326,4.500169754,2.297866344,FALSE,0.1,TRUE,3,31,
E6,SCr-023,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.09095764,35.74310303,0.676497936,3.267118216,4.500169754,2.297866344,FALSE,0.1,TRUE,3,32,
E7,SCr-023-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,39.47066498,39.47066498,,0.312131554,0.312131554,,FALSE,0.1,TRUE,3,35,
E8,SCr-023-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.47066498,,,,,FALSE,0.1,TRUE,3,39,
E9,SCr-023-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.47066498,,,,,FALSE,0.1,TRUE,3,39,
E10,SCr-041,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.24794388,34.65852356,0.357174397,11.75694656,9.029735565,2.368684292,FALSE,0.1,TRUE,3,30,
E11,SCr-041,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.89761353,34.65852356,0.357174397,7.486117363,9.029735565,2.368684292,FALSE,0.1,TRUE,3,30,
E12,SCr-041,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.83000946,34.65852356,0.357174397,7.846142292,9.029735565,2.368684292,FALSE,0.1,TRUE,3,30,
F1,,O.mykiss,STANDARD,FAM,NFQ-MGB,33.94420242,33.7571373,0.187107101,10,,,FALSE,0.1,TRUE,3,30,
F2,,O.mykiss,STANDARD,FAM,NFQ-MGB,33.56998825,33.7571373,0.187107101,10,,,FALSE,0.1,TRUE,3,30,
F3,,O.mykiss,STANDARD,FAM,NFQ-MGB,33.75722122,33.7571373,0.187107101,10,,,FALSE,0.1,TRUE,3,30,
F4,SCr-025,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.73531723,33.7732811,0.14276056,16.78725624,16.40327644,1.595000982,FALSE,0.1,TRUE,3,29,
F5,SCr-025,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.93118286,33.7732811,0.14276056,14.65133572,16.40327644,1.595000982,FALSE,0.1,TRUE,3,31,
F6,SCr-025,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.65333557,33.7732811,0.14276056,17.77123833,16.40327644,1.595000982,FALSE,0.1,TRUE,3,30,
F7,SCr-025-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.25964355,35.55857849,0.825141788,5.821219921,5.213945866,2.493014812,FALSE,0.1,TRUE,3,32,
F8,SCr-025-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.49152374,35.55857849,0.825141788,2.47339797,5.213945866,2.493014812,FALSE,0.1,TRUE,3,33,
F9,SCr-025-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.92456818,35.55857849,0.825141788,7.347220421,5.213945866,2.493014812,FALSE,0.1,TRUE,3,31,
F10,SCr-041-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.18081665,35.93279266,1.063452005,6.148937225,4.155786514,2.818740606,FALSE,0.1,TRUE,3,32,
F11,SCr-041-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,35.93279266,1.063452005,,,,FALSE,0.1,TRUE,3,39,
F12,SCr-041-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.68476486,35.93279266,1.063452005,2.162636042,4.155786514,2.818740606,FALSE,0.1,TRUE,3,33,
G1,,O.mykiss,STANDARD,FAM,NFQ-MGB,36.04926682,36.45709229,0.468655586,5,,,FALSE,0.1,TRUE,3,32,
G2,,O.mykiss,STANDARD,FAM,NFQ-MGB,36.35295486,36.45709229,0.468655586,5,,,FALSE,0.1,TRUE,3,32,
G3,,O.mykiss,STANDARD,FAM,NFQ-MGB,36.96905899,36.45709229,0.468655586,5,,,FALSE,0.1,TRUE,3,33,
G4,SCr-029,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.51084518,35.95077515,0.382104993,4.888930798,3.690689802,1.039593816,FALSE,0.1,TRUE,3,32,
G5,SCr-029,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.14159393,35.95077515,0.382104993,3.154171944,3.690689802,1.039593816,FALSE,0.1,TRUE,3,32,
G6,SCr-029,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.19989014,35.95077515,0.382104993,3.028966427,3.690689802,1.039593816,FALSE,0.1,TRUE,3,33,
G7,SCr-029-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,37.67427444,37.70740509,0.04685111,1.087423682,1.062960744,0.034595817,FALSE,0.1,TRUE,3,33,
G8,SCr-029-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,37.74053192,37.70740509,0.04685111,1.038497806,1.062960744,0.034595817,FALSE,0.1,TRUE,3,34,
G9,SCr-029-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.70740509,0.04685111,,,,FALSE,0.1,TRUE,3,39,
G10,SCr-047,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.91841888,34.06474304,0.241155133,14.78184891,13.47412491,2.139653206,FALSE,0.1,TRUE,3,30,
G11,SCr-047,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.93272781,34.06474304,0.241155133,14.63561726,13.47412491,2.139653206,FALSE,0.1,TRUE,3,31,
G12,SCr-047,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.34308243,34.06474304,0.241155133,11.00490952,13.47412491,2.139653206,FALSE,0.1,TRUE,3,30,
H1,,O.mykiss,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
H2,,O.mykiss,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
H3,,O.mykiss,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
H4,SCr-030,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.69751358,34.31592178,0.536882222,17.23403549,11.7777071,4.73124218,FALSE,0.1,TRUE,3,30,
H5,SCr-030,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.66278076,34.31592178,0.536882222,8.812871933,11.7777071,4.73124218,FALSE,0.1,TRUE,3,31,
H6,SCr-030,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.58748245,34.31592178,0.536882222,9.286214828,11.7777071,4.73124218,FALSE,0.1,TRUE,3,30,
H7,SCr-030-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.00689316,35.59428787,0.389975518,3.463628769,4.72520113,1.236496806,FALSE,0.1,TRUE,3,32,
H8,SCr-030-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.23178482,35.59428787,0.389975518,5.934995651,4.72520113,1.236496806,FALSE,0.1,TRUE,3,31,
H9,SCr-030-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.54418564,35.59428787,0.389975518,4.776979923,4.72520113,1.236496806,FALSE,0.1,TRUE,3,31,
H10,SCr-047-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.28643799,36.50735855,1.075586081,2.85219121,2.888308525,1.820704222,FALSE,0.1,TRUE,3,33,
H11,SCr-047-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,37.67625046,36.50735855,1.075586081,1.085931659,2.888308525,1.820704222,FALSE,0.1,TRUE,3,34,
H12,SCr-047-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.55938339,36.50735855,1.075586081,4.726802826,2.888308525,1.820704222,FALSE,0.1,TRUE,3,32,